,HF Rep 1,TTA Rep 1,FO Rep 1,TTA+FO Rep 1,HF Rep 2,TTA Rep 2,FO Rep 2,TTA+FO Rep 2,HF Rep 3,TTA Rep 3,FO Rep 3,TTA+FO Rep 3
P01836;P01835,0.5632343885,-0.3696606085,-0.0367733466,-0.4194457582,NA,NA,NA,NA,NA,NA,NA,NA
P01946,0.7378546571,-0.6811937279,0.5185782187,-0.5078167921,-0.1193507155,-0.3168403925,1.0134219855,-0.5615858098,0.5076169249,-0.2301168662,0.1596334795,-0.4123438253
P02091,0.7254455662,-0.7191766416,0.5826483695,-0.6100760104,-0.0483444147,-0.3301055423,0.9242733743,-0.5265744522,0.5094898099,-0.201205543,0.0984546581,-0.3906080387
P02091;P11517,0.8628356643,-0.7539276885,0.5421136172,-0.5478565737,-0.2768907501,-0.395850622,0.8821267834,-0.4996895745,0.5040674923,-0.2092031531,0.1638233574,-0.4401953917
P02262,-0.0150149322,0.1481723241,-0.0808322136,0.0461737789,NA,NA,NA,NA,NA,NA,NA,NA
P02401,0.0301129591,0.0453734234,-0.0020931622,-0.0044134099,-0.0217203,-0.0083891142,0.1736200788,-0.1373413833,0.0452803215,0.0401780135,-0.0307733215,-0.1541796561
P02454,NA,NA,NA,NA,NA,NA,NA,NA,-0.3786956344,0.3927725157,-0.1787368692,0.1791922988
P02563,0.2838973315,-0.3033799832,0.4047614932,-0.4148238625,NA,NA,NA,NA,0.0029011687,0.0235241513,-0.0400630033,0.0008708014
P02563;P02564,-0.1877965657,0.215294417,-0.182573629,0.171587765,NA,NA,NA,NA,0.0025162009,-0.2639024654,0.1861997206,0.0616318657
P02650,0.2732687654,-0.2478950935,0.098207865,-0.1484246211,0.3332911224,-0.2460162631,0.2181989908,-0.3458355397,0.3460855659,-0.1869310178,0.0081325022,-0.2142326829
P02651,0.5658754061,-0.3645670738,-0.2425645046,0.1010324511,-0.0357662608,0.1525903129,-0.1447670552,0.0393740099,0.5287642981,-0.4700979061,-0.1238371811,-0.114612975
P02680,-0.0117256888,-0.3680007533,-0.1002058778,0.1767291922,NA,NA,NA,NA,-0.2952582613,0.3267651503,0.0588677808,-0.5268387293
P02692,-0.7333047914,0.8764963214,-0.2529296698,0.3476827832,-0.531443441,0.7289207954,-0.4234177231,0.4047859354,-0.8437354615,0.6332688561,-0.1764445606,0.4435875098
P02696,0.851339925,0.1175795581,-0.5144608563,-0.3215598121,0.0648289272,0.0113054934,0.0849621691,-0.3519342083,0.1423835349,-0.1076432405,0.5127080898,-0.5557392442
P02706,0.7013726361,-0.7139006926,0.3462303374,-0.3945551229,0.7800516036,-0.162153962,0.0185795987,-0.8482276088,0.5605497803,-0.1371442117,0.2058649982,-0.6080840422
P02761,1.3516412287,-1.7700372372,1.130153522,-0.4188788269,0.2342778651,-0.8993620708,0.7961661406,-0.4061585669,0.1886231711,-0.8205847941,0.4573889683,0.286614981
P02767,0.5444574527,-0.2439355605,0.2427649061,-0.3066309537,0.5342504045,-0.1538341709,0.085607951,-0.3779657729,0.5231924116,-0.3942317827,-0.3222854777,-0.0028049371
P02770,0.0024125102,0.1679778954,-0.1015742707,-0.0897696513,-0.1034207696,0.2286217003,0.0103158295,-0.0288620715,0.0777982792,-0.0881231774,-0.144619566,0.2804959062
P02793,1.4713980655,-0.0806689663,0.7109879214,-1.1458554708,1.1200654454,-0.3310866603,-0.5934294834,-0.3213620548,1.4126727381,0.8290472367,-2.4703353426,-0.7951191737
P04041,0.3547040248,-0.0003026736,0.5033698613,-0.8265124362,0.6338259744,-0.4499875725,0.1059409213,-0.3868950922,0.7939285663,-0.296202816,0.0201470724,-0.2795905283
P04166,-0.6451208039,0.682734364,0.4036852538,0.3482304868,NA,NA,NA,NA,NA,NA,NA,NA
P04167,NA,NA,NA,NA,-1.3052910977,0.9208203642,0.7210728715,1.1595668113,NA,NA,NA,NA
P04176,0.6593019151,-0.504268504,0.0999229206,-0.0212049809,0.4157774778,-0.3322675014,0.0444136295,-0.1360569265,0.2562047586,-0.4037034378,0.0592338376,-0.0194799984
P04182,1.0223012963,-0.7817517618,-0.1624334663,-0.3140788179,0.4449997445,-0.3460147859,-0.2989256399,-0.0196531544,NA,NA,NA,NA
P04182;P60868,NA,NA,NA,NA,NA,NA,NA,NA,-0.1000838722,-0.0329974305,0.2307453713,-0.0976640685
P04256,-0.2185587529,0.2132628552,-0.2946313602,0.0900944071,NA,NA,NA,NA,0.0450708609,0.2099560997,-0.0858553546,-0.2638873864
P04256;Q6URK4;A7VJC2,0.1168648257,-0.0632669175,-0.0633108149,0.0097129067,NA,NA,NA,NA,NA,NA,NA,NA
P04276,0.2552837946,-0.3978740171,0.2245596142,-0.1944637966,0.2891753367,-0.0122899767,0.0578623388,-0.4672171297,0.4704978356,-0.2561576853,0.0338507858,-0.2302087185
P04550,0.3466861014,-0.1461940733,0.199829764,-0.3957155981,0.1579459552,-0.0524964969,0.27021635,-0.349666392,0.3937263944,0.0923003796,-0.1069512946,-0.1038218899
P04636,0.002711591,0.1926507502,0.0481704612,-0.1543981673,-0.0746884391,0.1417994978,-0.1622276338,0.0038919261,0.2854039796,0.0577612866,0.0809490146,-0.0853477526
P04639,0.3941427544,-0.0294846802,-0.3394338192,0.0228529973,0.3250970863,-0.1157515673,0.0801585252,-0.3164809315,0.2523340699,-0.0258523154,-0.0312082396,-0.2734042985
P04642,-0.3387666725,0.5151478471,-0.2409257884,0.0528616746,-0.3510273241,0.2715989267,-0.2702848468,0.3295458098,-0.4131344731,0.3490207036,0.0137409966,0.0208574854
P04642;P42123,NA,NA,NA,NA,NA,NA,NA,NA,-0.3999025421,0.3821534308,-0.0017274024,0.0131194102
P04644,0.1424333902,-0.1626029445,-0.1291216767,0.0935087107,0.0483535405,-0.136801902,0.1504366366,-0.0389307033,0.1660099183,0.0644063662,0.163615865,-0.2177479998
P04646,-0.0099582679,-0.060059586,-0.0276076614,0.1427912314,0.103937112,-0.251538019,0.0966940555,0.0080496519,0.3398444717,-0.1807463845,0.609936048,0.2532333531
P04692,NA,NA,NA,NA,NA,NA,NA,NA,1.1966864756,0.0410131388,-1.6661467702,0.6574758684
P04762,-0.4096408125,0.4692868691,-0.065894846,0.015828154,-0.2485243342,0.2578167221,-0.0667047015,0.0665851661,-0.2771733172,0.0714120717,-0.0671861764,0.3489741804
P04764,-0.0084821942,0.1372963748,-0.113264954,0.0057829066,0.2593093017,-0.0846855649,-0.2389609853,-0.0187646063,0.3728737396,-0.071982779,-0.2271412483,-0.1346498378
P04785,0.3437467265,-0.3570902677,0.1390733795,-0.1558768742,0.4112397022,-0.3929606078,0.2897097018,-0.3538714467,0.3116432937,-0.3571772121,0.490199296,-0.4162161231
P04797,-0.052423729,0.1494716883,-0.1322531865,0.0519692948,0.1025747531,-0.0124408365,-0.2498780167,0.0364234807,0.1114198487,-0.0896989854,-0.0782874028,-0.0406102442
P04800,NA,NA,NA,NA,NA,NA,NA,NA,-0.0198923135,-0.5561677173,-0.1577005982,0.7407722723
P04800;P05183,NA,NA,NA,NA,-0.5814184809,-0.1301098975,0.2929728912,0.2837811633,-0.4457715703,-0.1376249505,-0.0200555699,0.4793885949
P04800;Q64581,NA,NA,NA,NA,NA,NA,NA,NA,-0.1940621657,-0.7069270239,0.0836343497,0.8173548399
P04903,1.1813750091,-1.9058805934,1.574225551,-0.9191524228,NA,NA,NA,NA,NA,NA,NA,NA
P04904,0.4989705331,-1.0072812575,0.5538946044,-0.2803280528,0.8563475716,-0.6725962504,0.0272004026,-0.2138888116,0.8431895682,-0.9378215622,0.2388193565,-0.116881551
P04904;P46418,0.5355450294,-0.7676247746,0.5613321081,-0.2898336594,NA,NA,NA,NA,0.8573903177,-0.9215165042,0.2154647201,-0.2582877246
P04905,0.3991628759,-0.4214480978,0.5100542325,-0.5067867844,0.5760697263,-0.5441162266,0.4112596315,-0.4556368318,0.5002403611,-0.5677625422,0.2553735835,-0.1290497242
P04905;P08009,0.347311822,-0.2594561707,0.3198659847,-0.4536713834,0.3836414664,-0.5332509442,0.4582123186,-0.4941067391,0.4876756118,-0.7119977254,0.2824266431,-0.1111629068
P04905;P08010;P08009,0.5154778485,-0.5996460529,0.7249022394,-0.6384862851,0.6395422649,-0.7131874139,0.6808840118,-0.5223549604,0.6306086048,-0.7549747526,0.3473034035,-0.1361306237
P04906,0.3873455904,-0.139488784,-0.2021348543,-0.1683940193,0.481263685,-0.4510485622,-0.0776560447,-0.0512786858,NA,NA,NA,NA
P04916,-0.254888787,0.2316651655,-0.191815934,0.177422511,-0.5998536213,0.5029705786,-0.3951139549,0.1709442273,-0.1206271874,-0.0512623878,0.1737525189,-0.047481642
P04937,0.1160819583,-0.1404806104,-0.090231036,0.0603628546,0.0013371674,-0.1621947614,0.4459038012,-0.2905862124,0.008511142,0.1523294711,-0.0245736344,-0.1657513456
P05065,-0.1810009456,0.1607666851,-0.3529581952,0.4450606403,-0.334480992,0.3561028752,-0.1354964181,0.2065081094,-0.1654486497,0.2556696818,-0.2063866597,0.104574546
